image_id,image,xmin,ymin,xmax,ymax,class
000012,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000012.jpg,156,97,351,270,car
000017,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000017.jpg,185,62,279,199,person
000017,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000017.jpg,90,78,403,336,horse
000023,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000023.jpg,9,230,245,500,bicycle
000023,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000023.jpg,230,220,334,500,bicycle
000023,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000023.jpg,2,178,90,500,bicycle
000023,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000023.jpg,2,1,117,369,person
000023,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000023.jpg,3,2,243,462,person
000023,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000023.jpg,225,1,334,486,person
000026,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000026.jpg,90,125,337,212,car
000032,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000032.jpg,104,78,375,183,aeroplane
000032,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000032.jpg,133,88,197,123,aeroplane
000032,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000032.jpg,195,180,213,229,person
000032,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000032.jpg,26,189,44,238,person
000033,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000033.jpg,9,107,499,263,aeroplane
000033,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000033.jpg,421,200,482,226,aeroplane
000033,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000033.jpg,325,188,411,223,aeroplane
000034,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000034.jpg,116,167,360,400,train
000034,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000034.jpg,141,153,333,229,train
000035,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000035.jpg,1,96,191,361,person
000035,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000035.jpg,218,98,465,318,person
000035,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000035.jpg,468,195,500,317,person
000035,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000035.jpg,3,304,500,375,diningtable
000036,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000036.jpg,27,79,319,344,dog
000042,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000042.jpg,263,32,500,295,train
000042,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000042.jpg,1,36,235,299,train
000044,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000044.jpg,1,1,370,330,chair
000044,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000044.jpg,99,101,312,213,cat
000047,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000047.jpg,15,1,459,312,car
000047,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000047.jpg,439,170,487,230,chair
000048,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000048.jpg,58,107,291,465,bird
000048,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000048.jpg,2,1,302,500,person
000061,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000061.jpg,274,11,437,279,boat
000061,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000061.jpg,184,214,281,252,boat
000064,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000064.jpg,1,23,451,500,bird
000066,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000066.jpg,209,187,228,230,person
000066,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000066.jpg,242,182,274,259,person
000066,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000066.jpg,269,188,295,259,person
000073,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000073.jpg,121,143,375,460,pottedplant
000073,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000073.jpg,2,154,64,459,pottedplant
000073,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000073.jpg,270,155,375,331,boat
000073,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000073.jpg,22,143,146,500,person
000077,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000077.jpg,240,1,500,333,cat
000077,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000077.jpg,2,1,306,333,cat
000078,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000078.jpg,15,75,475,412,dog
000078,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000078.jpg,94,41,437,238,dog
000083,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000083.jpg,109,33,447,309,car
000083,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000083.jpg,380,2,435,135,person
000083,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000083.jpg,138,14,193,115,person
000083,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000083.jpg,1,20,75,204,person
000083,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000083.jpg,60,48,114,156,person
000083,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000083.jpg,32,51,83,162,person
000089,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000089.jpg,20,7,183,355,person
000089,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000089.jpg,98,215,429,374,person
000089,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000089.jpg,332,140,455,366,person
000089,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000089.jpg,22,51,317,291,chair
000091,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000091.jpg,125,241,195,284,car
000091,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000091.jpg,81,248,105,268,car
000091,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000091.jpg,91,250,126,274,car
000104,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000104.jpg,403,110,500,265,tvmonitor
000104,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000104.jpg,291,75,442,333,person
000104,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000104.jpg,2,7,283,333,person
000112,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000112.jpg,70,174,277,328,dog
000112,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000112.jpg,287,162,316,198,chair
000122,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000122.jpg,36,20,430,474,cat
000129,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000129.jpg,70,202,255,500,bicycle
000129,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000129.jpg,251,242,334,500,bicycle
000129,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000129.jpg,1,144,67,436,bicycle
000129,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000129.jpg,1,1,66,363,person
000129,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000129.jpg,74,1,272,462,person
000129,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000129.jpg,252,19,334,487,person
000133,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000133.jpg,73,18,406,500,person
000133,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000133.jpg,135,227,338,500,horse
000133,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000133.jpg,22,1,75,101,person
000133,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000133.jpg,42,58,137,104,horse
000134,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000134.jpg,1,115,487,330,car
000138,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000138.jpg,6,56,154,285,person
000138,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000138.jpg,145,58,283,258,person
000138,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000138.jpg,224,54,440,332,person
000138,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000138.jpg,363,96,500,332,person
000140,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000140.jpg,107,146,386,300,dog
000140,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000140.jpg,2,113,500,401,sofa
000141,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000141.jpg,25,53,418,399,bird
000147,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000147.jpg,33,105,65,146,chair
000147,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000147.jpg,77,114,114,149,chair
000147,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000147.jpg,146,125,175,150,chair
000147,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000147.jpg,227,132,247,154,chair
000147,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000147.jpg,302,127,327,153,chair
000147,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000147.jpg,373,121,402,153,chair
000147,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000147.jpg,435,112,465,149,chair
000153,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000153.jpg,237,147,358,191,car
000153,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000153.jpg,138,56,166,70,car
000153,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000153.jpg,47,114,118,125,car
000153,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000153.jpg,3,109,64,122,car
000154,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000154.jpg,59,76,367,266,boat
000154,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000154.jpg,441,193,458,213,boat
000159,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000159.jpg,234,48,286,124,person
000159,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000159.jpg,1,16,498,333,car
000161,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000161.jpg,104,34,446,390,car
000161,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000161.jpg,68,195,121,288,car
000162,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000162.jpg,306,227,380,299,tvmonitor
000162,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000162.jpg,196,143,309,369,person
000163,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000163.jpg,52,22,308,328,person
000163,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000163.jpg,26,108,456,396,motorbike
000164,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000164.jpg,114,154,369,348,motorbike
000164,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000164.jpg,292,49,446,370,person
000171,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000171.jpg,1,290,128,407,dog
000171,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000171.jpg,94,21,375,491,person
000173,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000173.jpg,106,64,270,297,person
000173,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000173.jpg,109,64,288,464,horse
000174,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000174.jpg,143,5,426,333,person
000187,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000187.jpg,1,95,240,336,tvmonitor
000189,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000189.jpg,65,39,459,346,bird
000192,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000192.jpg,116,64,356,375,person
000192,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000192.jpg,2,212,49,375,chair
000193,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000193.jpg,80,4,500,375,person
000193,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000193.jpg,1,29,227,375,person
000193,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000193.jpg,2,125,500,375,sofa
000194,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000194.jpg,86,36,239,224,horse
000194,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000194.jpg,115,19,203,136,person
000194,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000194.jpg,279,77,298,132,person
000198,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000198.jpg,160,134,286,239,train
000200,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000200.jpg,28,19,103,167,person
000200,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000200.jpg,16,54,178,249,person
000200,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000200.jpg,147,23,245,249,person
000200,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000200.jpg,227,19,400,249,person
000200,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000200.jpg,391,13,500,249,person
000200,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000200.jpg,364,212,389,249,bottle
000200,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000200.jpg,231,145,260,210,bottle
000207,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000207.jpg,1,205,113,320,bus
000209,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000209.jpg,14,76,400,375,cat
000219,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000219.jpg,120,333,310,464,motorbike
000220,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000220.jpg,40,127,464,292,car
000220,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000220.jpg,427,114,500,167,car
000220,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000220.jpg,265,147,312,187,person
000222,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000222.jpg,178,216,303,326,diningtable
000222,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000222.jpg,250,237,362,375,person
000222,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000222.jpg,114,236,227,375,person
000222,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000222.jpg,221,223,235,266,bottle
000222,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000222.jpg,234,213,245,256,bottle
000222,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000222.jpg,341,149,376,216,person
000222,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000222.jpg,158,191,185,221,person
000222,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000222.jpg,159,177,206,230,person
000222,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000222.jpg,252,178,311,228,person
000222,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000222.jpg,291,193,332,241,person
000222,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000222.jpg,318,209,373,330,person
000222,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000222.jpg,100,206,170,342,person
000222,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000222.jpg,444,283,500,375,person
000222,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000222.jpg,366,243,394,375,chair
000222,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000222.jpg,367,217,390,269,chair
000225,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000225.jpg,125,96,355,263,sheep
000225,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000225.jpg,2,22,47,81,sheep
000228,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000228.jpg,92,82,314,228,aeroplane
000235,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000235.jpg,243,255,316,375,chair
000235,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000235.jpg,136,326,271,375,chair
000235,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000235.jpg,1,291,97,374,chair
000235,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000235.jpg,402,245,455,316,chair
000235,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000235.jpg,40,266,277,375,diningtable
000235,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000235.jpg,415,192,457,254,sofa
000235,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000235.jpg,185,167,201,236,pottedplant
000242,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000242.jpg,3,3,499,287,cat
000250,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000250.jpg,1,170,474,375,diningtable
000250,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000250.jpg,97,124,150,297,bottle
000256,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000256.jpg,8,96,491,232,aeroplane
000259,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000259.jpg,171,1,499,361,person
000259,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000259.jpg,3,1,271,264,person
000262,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000262.jpg,343,96,500,196,car
000263,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000263.jpg,19,224,355,323,car
000263,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000263.jpg,1,355,69,499,car
000276,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000276.jpg,129,163,230,319,person
000276,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000276.jpg,162,373,260,500,person
000276,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000276.jpg,32,373,140,500,person
000278,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000278.jpg,294,156,500,375,dog
000278,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000278.jpg,111,89,417,375,person
000282,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000282.jpg,335,263,484,373,chair
000282,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000282.jpg,327,104,476,300,person
000282,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000282.jpg,232,57,357,374,person
000282,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000282.jpg,3,32,199,374,person
000282,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000282.jpg,58,139,296,374,person
000288,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000288.jpg,485,174,500,280,person
000288,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000288.jpg,443,163,479,283,person
000288,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000288.jpg,419,153,439,240,person
000288,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000288.jpg,440,156,450,230,person
000288,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000288.jpg,412,163,430,248,person
000288,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000288.jpg,407,194,422,251,person
000288,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000288.jpg,373,157,401,266,person
000288,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000288.jpg,330,169,380,252,person
000288,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000288.jpg,1,153,20,305,person
000288,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000288.jpg,1,110,33,244,person
000288,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000288.jpg,30,142,77,205,car
000288,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000288.jpg,67,21,382,278,bus
000294,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000294.jpg,330,11,454,368,bird
000294,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000294.jpg,55,93,167,371,bird
000296,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000296.jpg,427,125,500,181,car
000296,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000296.jpg,44,120,459,222,boat
000306,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000306.jpg,89,32,144,72,cow
000306,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000306.jpg,114,36,182,86,cow
000306,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000306.jpg,237,46,302,87,cow
000306,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000306.jpg,303,42,380,87,cow
000307,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000307.jpg,2,3,500,375,pottedplant
000307,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000307.jpg,1,229,40,375,pottedplant
000311,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000311.jpg,47,42,433,354,car
000312,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000312.jpg,3,2,500,334,train
000317,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000317.jpg,118,151,407,221,car
000320,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000320.jpg,305,8,337,27,car
