image_id,image,xmin,ymin,xmax,ymax,class
000005,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000005.jpg,263,211,324,339,chair
000005,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000005.jpg,165,264,253,372,chair
000005,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000005.jpg,5,244,67,374,chair
000005,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000005.jpg,241,194,295,299,chair
000005,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000005.jpg,277,186,312,220,chair
000007,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000007.jpg,141,50,500,330,car
000009,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000009.jpg,69,172,270,330,horse
000009,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000009.jpg,150,141,229,284,person
000009,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000009.jpg,285,201,327,331,person
000009,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000009.jpg,258,198,297,329,person
000012,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000012.jpg,156,97,351,270,car
000016,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000016.jpg,92,72,305,473,bicycle
000017,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000017.jpg,185,62,279,199,person
000017,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000017.jpg,90,78,403,336,horse
000019,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000019.jpg,231,88,483,256,cat
000019,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000019.jpg,11,113,266,259,cat
000020,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000020.jpg,33,148,371,416,car
000021,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000021.jpg,1,235,182,388,dog
000021,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000021.jpg,210,36,336,482,person
000021,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000021.jpg,46,82,170,365,person
000021,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000021.jpg,11,181,142,419,person
000023,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000023.jpg,9,230,245,500,bicycle
000023,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000023.jpg,230,220,334,500,bicycle
000023,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000023.jpg,2,178,90,500,bicycle
000023,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000023.jpg,2,1,117,369,person
000023,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000023.jpg,3,2,243,462,person
000023,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000023.jpg,225,1,334,486,person
000024,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000024.jpg,196,165,489,247,train
000026,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000026.jpg,90,125,337,212,car
000030,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000030.jpg,36,205,180,289,bicycle
000030,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000030.jpg,51,160,150,292,person
000030,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000030.jpg,295,138,450,290,person
000032,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000032.jpg,104,78,375,183,aeroplane
000032,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000032.jpg,133,88,197,123,aeroplane
000032,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000032.jpg,195,180,213,229,person
000032,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000032.jpg,26,189,44,238,person
000033,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000033.jpg,9,107,499,263,aeroplane
000033,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000033.jpg,421,200,482,226,aeroplane
000033,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000033.jpg,325,188,411,223,aeroplane
000034,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000034.jpg,116,167,360,400,train
000034,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000034.jpg,141,153,333,229,train
000035,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000035.jpg,1,96,191,361,person
000035,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000035.jpg,218,98,465,318,person
000035,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000035.jpg,468,195,500,317,person
000035,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000035.jpg,3,304,500,375,diningtable
000036,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000036.jpg,27,79,319,344,dog
000039,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000039.jpg,156,89,344,279,tvmonitor
000041,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000041.jpg,363,47,432,107,tvmonitor
000041,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000041.jpg,216,92,307,302,person
000041,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000041.jpg,164,148,227,244,person
000042,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000042.jpg,263,32,500,295,train
000042,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000042.jpg,1,36,235,299,train
000044,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000044.jpg,1,1,370,330,chair
000044,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000044.jpg,99,101,312,213,cat
000046,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000046.jpg,211,234,317,366,bird
000047,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000047.jpg,15,1,459,312,car
000047,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000047.jpg,439,170,487,230,chair
000048,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000048.jpg,58,107,291,465,bird
000048,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000048.jpg,2,1,302,500,person
000050,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000050.jpg,405,153,493,255,chair
000050,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000050.jpg,275,129,312,170,chair
000050,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000050.jpg,360,192,381,265,bottle
000050,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000050.jpg,399,181,422,235,bottle
000050,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000050.jpg,270,180,291,247,bottle
000050,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000050.jpg,294,176,312,241,bottle
000050,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000050.jpg,68,96,293,375,person
