image_id,image,segmentation_mask
000032,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000032.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000032.png
000033,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000033.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000033.png
000042,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000042.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000042.png
000061,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000061.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000061.png
000129,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000129.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000129.png
000187,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000187.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000187.png
000250,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000250.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000250.png
000256,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000256.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000256.png
000528,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000528.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000528.png
000549,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000549.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000549.png
000559,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000559.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000559.png
000648,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000648.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000648.png
000733,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000733.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000733.png
000768,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000768.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000768.png
000793,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000793.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000793.png
000804,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000804.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000804.png
000822,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000822.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000822.png
000830,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000830.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000830.png
000904,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000904.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000904.png
000999,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000999.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000999.png
001073,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/001073.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/001073.png
001239,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/001239.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/001239.png
001299,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/001299.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/001299.png
001408,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/001408.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/001408.png
001420,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/001420.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/001420.png
001457,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/001457.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/001457.png
001526,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/001526.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/001526.png
001586,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/001586.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/001586.png
001594,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/001594.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/001594.png
001630,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/001630.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/001630.png
001717,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/001717.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/001717.png
001733,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/001733.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/001733.png
001761,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/001761.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/001761.png
001825,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/001825.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/001825.png
001834,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/001834.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/001834.png
001960,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/001960.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/001960.png
002055,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/002055.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/002055.png
002120,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/002120.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/002120.png
002132,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/002132.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/002132.png
002212,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/002212.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/002212.png
002234,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/002234.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/002234.png
002260,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/002260.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/002260.png
002284,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/002284.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/002284.png
002293,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/002293.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/002293.png
002368,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/002368.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/002368.png
002403,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/002403.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/002403.png
002445,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/002445.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/002445.png
002539,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/002539.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/002539.png
002545,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/002545.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/002545.png
